sample_num,plot,date,depth_cm,treatment,porewater_npoc_mg_C_L__exact_sample,porewater_tdn_mg_N_L__exact_sample,temp_cs655_cen_0_10cm__same_day_mean,vwc_cs655_cen_0_10cm__same_day_mean,temp_cs655_cen_20_30cm__same_day_mean,vwc_cs655_cen_20_30cm__same_day_mean,temp_cs655_cen_40_50cm__same_day_mean,vwc_cs655_cen_40_50cm__same_day_mean,nh4_ugN.mL_lysimiter.surface.chemistry__same_day,nh4_ugN_lysimiter.surface.chemistry__same_day,no3_ugN.mL_lysimiter.surface.chemistry__same_day,no3_ugN_lysimiter.surface.chemistry__same_day,npoc_ug.mL_lysimiter.surface.chemistry__same_day,npoc_ug_lysimiter.surface.chemistry__same_day,po4_ugP.mL_lysimiter.surface.chemistry__same_day,po4_ugP_lysimiter.surface.chemistry__same_day,tn_ug.mL_lysimiter.surface.chemistry__same_day,tn_ug_lysimiter.surface.chemistry__same_day
1,1,2017-05-31,10,control,1.5964,0.1502,24.2524420833333,0.414997208333333,24.8817033333333,0.432696070833333,24.8807270833333,0.3975100875,,,,,,,,,,
2,1,2017-12-06,10,control,1.5582,0.2582,24.4806691666667,0.454529841666667,24.74364875,0.449546783333333,24.80201625,0.388217979166667,,,,,,,,,,
3,1,2018-05-09,10,control,0.8818,0.1012,24.35761125,0.408281933333333,25.0415029166667,0.436538,25.0253966666667,0.384175479166667,,,,,,,,,,
4,1,2018-05-22,10,control,0.827,0.0761,24.6241495833333,0.419713170833333,25.0847883333333,0.4374313875,25.1097116666667,0.3854041625,0.157082704,37.69984904,1.16617028,279.8808672,5.242,1258.08,0,0,0.7032,168.768
5,1,2018-10-10,10,control,1.7416,0.1547,24.7638454166667,0.4473409625,25.3678445833333,0.4287147875,25.5321825,0.386404354166667,0,0,0.328617365,2214.88104,5.742,38701.08,0.01755908,118.3481992,0.7576,5106.224
6,1,2018-11-07,10,control,1.5846,0.1101,23.7892483333333,0.447018729166667,24.0400754166667,0.429170145833333,24.2376958333333,0.3872354625,0.978,7872.9,0.110042378,885.8411447,7,56350,0,0,0.5852,4710.86
7,1,2019-09-10,10,control,1.6374,0.3908,25.4064583333333,0.405970120833333,25.3534541666667,0.422641391666667,25.39792,0.3676581375,0.12779532,378.2741472,0.11158052,330.2783401,8.31,24597.6,0.01533472,45.3907712,0.64,1894.4
8,1,2019-12-03,10,control,1.244,0.1768,23.95879625,0.419094433333333,23.70662375,0.4245357,23.7937070833333,0.375346095833333,0,0,0.240952153,1626.427031,8.55,57712.5,0.01963547,132.5394225,0.6446,4351.05
9,1,2020-01-28,10,control,1.9046,0.2546,22.3056125,0.435194433333333,22.7355808333333,0.428081579166667,22.9728854166667,0.378196133333333,0,0,0.267856394,1853.566246,7.95,55014,0.02128259,147.2755228,0.6562,4540.904
10,1,2021-12-15,10,control,0.934,0.4124,23.0523183333333,0.376369433333333,23.6578975,0.426238666666667,23.82164125,0.372604083333333,,,,,,,,,,
