plot,date,simpson.div_0.10 cm_fticr,simpson.div_10.30 cm_fticr,mol.richness_0.10 cm_fticr,mol.richness_10.30 cm_fticr,mean.lambda_0.10 cm_fticr,mean.lambda_10.30 cm_fticr,mean.CUE_0.10 cm_fticr,mean.CUE_10.30 cm_fticr,mean.nosc_0.10 cm_fticr,mean.nosc_10.30 cm_fticr
1,2017-05-31,148.78313195849807,,276.5,,0.041899498426242944,,0.5378333998203424,,-0.4514145423310121,
1,2017-12-06,374.48223156950246,,699,,0.03768624049944383,,0.5347101100052001,,-0.42128138978897367,
1,2018-05-09,424.15983012757766,,802.5,,0.03796992815398212,,0.5356421778969745,,-0.4302374937018554,
1,2018-05-22,99.22591060855888,,246,,0.03995844448576302,,0.5363783997264304,,-0.43607157680247743,
1,2018-10-10,156.88126470671625,,324,,0.03909746398099036,,0.5394869152024273,,-0.467417436767332,
1,2018-11-07,237.0039885764382,,424.5,,0.036589660962699375,,0.538658758251596,,-0.4599884420499212,
1,2019-09-10,417.46550390619745,,759,,0.03709904823596994,,0.5362554552837123,,-0.436090988334844,
1,2019-12-03,245.32570496207305,,463,,0.03772260562568417,,0.5314680053606287,,-0.38556500436224495,
1,2020-01-28,485.56061405759215,,1009.3333333333334,,0.040302563306224205,,0.5228236164845067,,-0.2971342572808428,
1,2021-12-15,301.4665516313293,,532.5,,0.035396788553074446,,0.5441506706927016,,-0.5151562197367969,
1,2022-08-23,361.95077825147337,26.598562542908248,606.5,170.5,0.03253828184544673,0.03215711887558381,0.5441564993579775,0.5760761935197956,-0.5127048909504837,-0.8291030960285974
1,2022-09-08,283.1426803688995,116.34438806181402,529,315.5,0.03571072535502459,0.02692972869807313,0.5398347516941595,0.5677922083180464,-0.4682955497950173,-0.7470305528338739
1,2022-11-16,520.2828766340622,110.1693536483904,1090.6666666666667,526.6666666666666,0.03400609907322302,0.026716306242263694,0.5436710917753291,0.555215047819303,-0.5085002240279676,-0.6197451854983079
2,2017-05-31,551.247297835962,,1725.5,,0.043267558422607114,,0.5262831325282011,,-0.33211477013228524,
2,2017-12-06,273.16399016436765,,763,,0.0357364611508565,,0.548522755211382,,-0.559960288365889,
2,2018-05-09,409.6492962287593,,1333.3333333333333,,0.0361180598738718,,0.5382574478513655,,-0.45053520583892587,
2,2018-05-22,562.9535479249698,,1544,,0.03396774480323295,,0.5463885361201969,,-0.5386188101962255,
2,2018-10-10,151.66204839591023,,733,,0.03229645813381737,,0.5501750637206639,,-0.5723913756896817,
2,2018-11-07,675.5058664794215,,1843,,0.034105709208199816,,0.5508409421283671,,-0.5850710137770374,
2,2019-09-10,1084.2837054215406,,2447.5,,0.04008410192618443,,0.5401214906769207,,-0.4736315996830003,
2,2019-12-03,437.0415077998855,,1347,,0.02866096841955028,,0.5515146442119071,,-0.5840401139603181,
2,2020-01-28,373.43460741481766,,1304,,0.033293075613439894,,0.5471726852873633,,-0.5446584749950659,
2,2021-12-15,219.34328533359508,,531,,0.030510162126500553,,0.5536293352512492,,-0.6062685201513691,
2,2022-08-23,294.6586274524267,56.15626939814878,1128.3333333333333,270,0.03192748438810833,0.029777831579105234,0.5478712179134595,0.5639597182769224,-0.5471944113003346,-0.7103726740881624
2,2022-11-16,136.22000686352527,83.42526953387558,388,499.3333333333333,0.03115570103429924,0.036204200139919644,0.555116903784868,0.5565759994386223,-0.6220211057259228,-0.6363158943993554
