metric,sample_num,plot,date,treatment,treatment_label,depth_cm,depth_label,value,multiplier,value_plot,metric_label,metric_group,metric_order
frac_n_containing,1,1,2017-05-31,control,Control,10,0-10 cm,0.141104294478528,100,14.1104294478528,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,70,5,2017-05-31,control,Control,10,0-10 cm,0.0976138828633406,100,9.76138828633406,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,26,3,2017-10-20,control,Control,10,0-10 cm,0.245398773006135,100,24.5398773006135,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,2,1,2017-12-06,control,Control,10,0-10 cm,0.168981481481482,100,16.8981481481482,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,27,3,2017-12-06,control,Control,10,0-10 cm,0.219988172678888,100,21.9988172678888,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,28,3,2018-01-17,control,Control,10,0-10 cm,0.163120567375887,100,16.3120567375887,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,29,3,2018-01-30,control,Control,10,0-10 cm,0.151181102362205,100,15.1181102362205,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,30,3,2018-02-13,control,Control,10,0-10 cm,0.15,100,15,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,31,3,2018-02-27,control,Control,10,0-10 cm,0.195121951219512,100,19.5121951219512,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,3,1,2018-05-09,control,Control,10,0-10 cm,0.224719101123596,100,22.4719101123595,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,32,3,2018-05-09,control,Control,10,0-10 cm,0.261904761904762,100,26.1904761904762,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,4,1,2018-05-22,control,Control,10,0-10 cm,0.13953488372093,100,13.953488372093,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,33,3,2018-05-22,control,Control,10,0-10 cm,0.660377358490566,100,66.0377358490566,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,5,1,2018-10-10,control,Control,10,0-10 cm,0.140776699029126,100,14.0776699029126,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,71,5,2018-10-10,control,Control,10,0-10 cm,0.0264900662251656,100,2.64900662251656,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,34,3,2018-10-23,control,Control,10,0-10 cm,0.222222222222222,100,22.2222222222222,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,72,5,2018-10-23,control,Control,10,0-10 cm,0.247111111111111,100,24.7111111111111,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,6,1,2018-11-07,control,Control,10,0-10 cm,0.153846153846154,100,15.3846153846154,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,35,3,2018-11-07,control,Control,10,0-10 cm,0.666666666666667,100,66.6666666666667,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,7,1,2019-09-10,control,Control,10,0-10 cm,0.193661971830986,100,19.3661971830986,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,73,5,2019-09-10,control,Control,10,0-10 cm,0.215923566878981,100,21.5923566878981,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,36,3,2019-11-05,control,Control,10,0-10 cm,0.345454545454545,100,34.5454545454546,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,8,1,2019-12-03,control,Control,10,0-10 cm,0.0807017543859649,100,8.07017543859649,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,37,3,2019-12-17,control,Control,10,0-10 cm,0.367469879518072,100,36.7469879518072,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,74,5,2019-12-17,control,Control,10,0-10 cm,0.0858208955223881,100,8.58208955223881,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,38,3,2019-12-31,control,Control,10,0-10 cm,0.28125,100,28.125,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,9,1,2020-01-28,control,Control,10,0-10 cm,0.101160862354892,100,10.1160862354892,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,39,3,2020-01-28,control,Control,10,0-10 cm,0.237762237762238,100,23.7762237762238,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,75,5,2020-01-28,control,Control,10,0-10 cm,0.0486486486486487,100,4.86486486486487,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,76,5,2020-02-25,control,Control,10,0-10 cm,0.101092896174863,100,10.1092896174863,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,40,3,2020-03-10,control,Control,10,0-10 cm,0.343023255813954,100,34.3023255813954,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,77,5,2020-03-10,control,Control,10,0-10 cm,0.0705035971223022,100,7.05035971223022,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,78,5,2020-07-28,control,Control,10,0-10 cm,0.14643188137164,100,14.643188137164,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,79,5,2020-09-09,control,Control,10,0-10 cm,0.127539503386005,100,12.7539503386005,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,80,5,2020-10-06,control,Control,10,0-10 cm,0.103217158176944,100,10.3217158176944,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,81,5,2020-11-05,control,Control,10,0-10 cm,0.178030303030303,100,17.8030303030303,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,82,5,2021-02-09,control,Control,10,0-10 cm,0.20039100684262,100,20.039100684262,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,83,5,2021-02-23,control,Control,10,0-10 cm,0.247924080664294,100,24.7924080664294,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,84,5,2021-06-03,control,Control,10,0-10 cm,0.172690763052209,100,17.2690763052209,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,10,1,2021-12-15,control,Control,10,0-10 cm,0.178571428571429,100,17.8571428571429,N-containing formulae (%),Elemental formula fractions,6
frac_n_containing,41,3,2021-12-15,control,Control,10,0-10 cm,0.416666666666667,100,41.6666666666667,N-containing formulae (%),Elemental formula fractions,6
