plot,month_start,year_month,year,month,treatment,season,temp_cs655_cen_0_10cm__monthly_mean,vwc_cs655_cen_0_10cm__monthly_mean,temp_cs655_cen_20_30cm__monthly_mean,vwc_cs655_cen_20_30cm__monthly_mean,temp_cs655_cen_40_50cm__monthly_mean,vwc_cs655_cen_40_50cm__monthly_mean,flux__monthly_mean,nh4_ugN.mL_lysimiter.surface.chemistry__monthly_mean,nh4_ugN_lysimiter.surface.chemistry__monthly_mean,no3_ugN.mL_lysimiter.surface.chemistry__monthly_mean,no3_ugN_lysimiter.surface.chemistry__monthly_mean,npoc_mg.l_10cm_pwchemistry__monthly_mean,npoc_mg.l_30cm_pwchemistry__monthly_mean,npoc_mg.l_50cm_pwchemistry__monthly_mean,npoc_mg_10cm_pwchemistry__monthly_mean,npoc_mg_30cm_pwchemistry__monthly_mean,npoc_mg_50cm_pwchemistry__monthly_mean,npoc_ug.mL_lysimiter.surface.chemistry__monthly_mean,npoc_ug_lysimiter.surface.chemistry__monthly_mean,po4_ugP.mL_lysimiter.surface.chemistry__monthly_mean,po4_ugP_lysimiter.surface.chemistry__monthly_mean,tdn_mg.l_10cm_pwchemistry__monthly_mean,tdn_mg.l_30cm_pwchemistry__monthly_mean,tdn_mg.l_50cm_pwchemistry__monthly_mean,tdn_mg_10cm_pwchemistry__monthly_mean,tdn_mg_30cm_pwchemistry__monthly_mean,tdn_mg_50cm_pwchemistry__monthly_mean,tn_ug.mL_lysimiter.surface.chemistry__monthly_mean,tn_ug_lysimiter.surface.chemistry__monthly_mean,core.root.mass_g_rootsoilcores__monthly_mean,ext.c_ug.g.soil_SD_nutrient.cores__monthly_mean,ext.c_ug.g.soil_mean_nutrient.cores__monthly_mean,ext.n_ug.g.soil_SD_nutrient.cores__monthly_mean,ext.n_ug.g.soil_mean_nutrient.cores__monthly_mean,live.root.mass_g_rootsoilcores__monthly_mean,nh4.min_ug.g.soil.day_SD_nutrient.cores__monthly_mean,nh4.min_ug.g.soil.day_mean_nutrient.cores__monthly_mean,nh4_ug.g.soil_SD_nutrient.cores__monthly_mean,nh4_ug.g.soil_mean_nutrient.cores__monthly_mean,no3.min_ug.g.soil.day_SD_nutrient.cores__monthly_mean,no3.min_ug.g.soil.day_mean_nutrient.cores__monthly_mean,no3_ug.g.soil_SD_nutrient.cores__monthly_mean,no3_ug.g.soil_mean_nutrient.cores__monthly_mean,po4_ug.g.soil_SD_nutrient.cores__monthly_mean,po4_ug.g.soil_mean_nutrient.cores__monthly_mean,root.C_count_rootsoilcores__monthly_mean,root.C_percent_rootsoilcores__monthly_mean,root.N_percent_rootsoilcores__monthly_mean,root.mass.per.area_g.m2_rootsoilcores__monthly_mean,rtd_g_cm3_rootsoilcores__monthly_mean,srl_cm.g_rootsoilcores__monthly_mean,surface.area_cm2_rootsoilcores__monthly_mean,tc.tn_ratio_SD_nutrient.cores__monthly_mean,tc.tn_ratio_mean_nutrient.cores__monthly_mean,tc_g.g.soil_SD_nutrient.cores__monthly_mean,tc_g.g.soil_mean_nutrient.cores__monthly_mean,tips_count_rootsoilcores__monthly_mean,tn_g.g.soil_SD_nutrient.cores__monthly_mean,tn_g.g.soil_mean_nutrient.cores__monthly_mean,total.dead.mass_g_rootsoilcores__monthly_mean,ubial.c.n_ratio_SD_nutrient.cores__monthly_mean,ubial.c.n_ratio_mean_nutrient.cores__monthly_mean,ubial.c_ug.g.soil_SD_nutrient.cores__monthly_mean,ubial.c_ug.g.soil_mean_nutrient.cores__monthly_mean,ubial.n_ug.g.soil_SD_nutrient.cores__monthly_mean,ubial.n_ug.g.soil_mean_nutrient.cores__monthly_mean,ubial.p_ug.g.soil_SD_nutrient.cores__monthly_mean,ubial.p_ug.g.soil_mean_nutrient.cores__monthly_mean,rootstock_g.m2_0-10_minirhizotron__monthly_mean,rootstock_g.m2_10-20_minirhizotron__monthly_mean,rootstock_g.m2_20-30_minirhizotron__monthly_mean,rootgrowth_g.m2.day_0-10_minirhizotron__monthly_mean,rootgrowth_g.m2.day_10-20_minirhizotron__monthly_mean,rootgrowth_g.m2.day_20-30_minirhizotron__monthly_mean,rootmortality_g.m2.day_0-10_minirhizotron__monthly_mean,rootmortality_g.m2.day_10-20_minirhizotron__monthly_mean,rootmortality_g.m2.day_20-30_minirhizotron__monthly_mean
1,2017-05-01,2017-05,2017,5,control,Wet,24.643696733871,0.378515468548387,24.4023795564516,0.410157374327957,24.3060399193548,0.348179649327957,7.55207443093923,,,,,1.5454,1.00973333333333,13.882,0.0214,0.0207666666666667,0.416466666666667,,,,,0.236,0.388933333333333,0.4572,0.00357978666666667,0.00806013333333333,0.013716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.302856407965,0,15.4171065773075,0.665863301510598,0,0,0.00150747915199974,0,0
2,2017-05-01,2017-05,2017,5,warmed,Wet,28.7110010215054,0.310391635752688,27.2925258736559,0.407630653763441,26.893479327957,0.410316791935484,6.52464358695652,,,,,2.30446666666667,3.112,2.4594,0.0424666666666667,0.0093,0.0722,,,,,0.608733333333333,0.755,0.8618,0.0107678666666667,0.002265,0.0252633333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.888255452586,0,1.03554882726523,0.850907933790414,0,0,0.943649721861128,0,0
3,2017-05-01,2017-05,2017,5,control,Wet,24.4789322715054,0.407852990322581,24.3360153225806,0.424887664112903,24.2098869086022,0.447522584677419,11.2583669986226,,,,,2.654,0.956466666666667,1.16773333333333,0.0186,0.0285,0.0342666666666667,,,,,0.6784,0.140133333333333,0.106833333333333,0.0047488,0.00417469333333333,0.0031228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.465014713471,0,1.10846519979719,4.993498959336,0,0,1.17839842214771,0,0
4,2017-05-01,2017-05,2017,5,warmed,Wet,28.9650559408602,0.304208035080645,27.5696730376344,0.394721239784946,27.2507588172043,0.348086706989247,19.2917991222571,,,,,4.765,1.53493333333333,2.60553333333333,0.08415,0.0247,0.0272666666666667,,,,,0.9857,0.312266666666667,0.482733333333333,0.0188873,0.0055016,0.00524613333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.807019864758,82.5598020358988,16.3634354076706,0.352875358932644,0.20849238025952,0.198768624459501,2.14527979302295,0,0.32256887307103
5,2017-05-01,2017-05,2017,5,control,Wet,24.3650225537634,0.194643118454301,24.2677032392473,0.441203316666667,24.091666344086,0.441166447311828,12.556188262069,,,,,1.3106,1.6863,0.884266666666667,0.0314333333333333,0.01245,0.0265666666666667,,,,,0.4232,0.4238,0.308266666666667,0.0109274666666667,0.0034796,0.009248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.855073359171,537.384092369932,12.6585884533393,2.78336059900863,0,0,0.706030625587109,0.0322162058466145,0
6,2017-05-01,2017-05,2017,5,warmed,Wet,28.0422504569893,0.274741502284946,27.0589563844086,0.39300031733871,26.6981881048387,0.385515402284946,39.1934483263598,,,,,1.38933333333333,0.994,,0.033,0.0284333333333333,,,,,,0.189533333333333,0.188433333333333,,0.00499988,0.0053688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.050647434658,97.2981571747231,0,3.00558122269463,0.469497022852915,0,2.09380643993907,0,0
1,2017-06-01,2017-06,2017,6,control,Wet,24.9556601805556,0.403226423055556,24.96310875,0.423286239583333,24.9275329583333,0.367956573055556,7.4159775929078,,,,,1.807,1.4188,0.9667,0.0163,0.02235,0.029,,,,,0.2354,0.3314,0.4089,0.0021186,0.0052692,0.012267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.651067138749,0,16.0209479615723,1.02316109503347,0,0.0431315274474825,0.0189370861934487,0,0
2,2017-06-01,2017-06,2017,6,warmed,Wet,28.2042617916667,0.330927098055556,27.470849125,0.410632962083333,27.1808527916667,0.412898155138889,5.16964088379705,,,,,,,1.4689,,,0.03205,,,,,,,0.4224,,,0.0094633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.903019446732,33.5880488377575,1.03554882726523,5.00558240758765,2.3991463455541,0,0,0,0
3,2017-06-01,2017-06,2017,6,control,Wet,24.9529613194444,0.426644223055556,24.9442689583333,0.434411482777778,24.866035375,0.454464522638889,6.29522745803698,,,,,,1.1579,1.3654,,0.03165,0.04095,,,,,,0.12215,0.1142,,0.00323256,0.003426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.226631788395,0,0,4.77488075043824,0,0,1.67998932685365,0,0.0124622386318934
4,2017-06-01,2017-06,2017,6,warmed,Wet,27.7153562361111,0.350786197222222,27.37732125,0.412766138194445,27.2054308611111,0.358592265277778,18.0410697701149,,,,,,1.5343,,,0.02035,,,,,,,0.1691,,,0.0022185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721.797602116518,82.5598020358988,5.91520305995102,5.01137119131814,0,0.0334523729060159,23.2323792679143,0,0.10259619862181
